Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,802,1722,8108,3879,4012,61,25067407,224,231,43
Åland Islands,221,428,981,70630,86634,12,0,33,54,209
Albania,6300,29814,93595,21311,33064,14,3153731,109,124,195
Algeria,15822,60235,292464,2115,9711,48,32854159,230,208,59
American Samoa,78,165,770,23597,46345,35,64051,98,96,96
Andorra,188,1575,4274,127017,133187,6,73483,13,28,236
Angola,920,2953,10187,6886,13415,44,16095214,194,184,66
Anguilla,129,375,926,16176,44749,20,12256,128,100,148
Antarctica,4,4,6,2570,7234,563,0,227,221,10
Antigua and Barbuda,389,2406,8022,10229,23091,34,83039,156,147,103
Argentina,49645,297806,990974,18707,34410,28,38747148,120,119,117
Armenia,4593,30126,94417,30212,33114,12,3017661,73,123,209
Aruba,312,3715,10357,14672,86343,14,102897,135,55,195
Australia,84216,499027,1604532,14931,58726,49,20310208,132,80,57
Austria,34328,109024,346537,18411,58884,18,8291979,123,79,163
Azerbaijan,10165,76246,279183,12974,13545,39,8352021,141,183,83
Bahamas,821,3793,11754,19092,57387,36,323295,119,83,93
Bahrain,896,22390,57151,37433,76444,11,724788,63,66,219
Bangladesh,16689,63747,232000,28088,25818,12,15328112,80,140,209
Barbados,736,4135,9828,62042,136294,5,291933,37,22,237
Belarus,11921,39037,113101,32325,40389,20,9795287,68,106,148
Belgium,37822,108702,325372,20964,108495,16,10398049,112,45,181
Belize,1133,4435,12631,26851,35671,18,275546,87,114,163
Benin,223,594,2289,7803,12770,39,8490301,185,189,83
Bermuda,157,1360,3988,39915,122349,17,64174,60,37,176
Bhutan,209,507,2069,17153,12497,24,637013,127,191,134
Bolivia,7471,92151,338958,9174,18701,27,9182015,168,161,120
Bosnia and Herzegovina,12728,43037,143168,6174,23782,26,3915238,202,144,124
Botswana,1425,3653,13097,6845,8425,61,1835938,196,213,43
Brazil,341649,2983064,11339832,55523,77601,21,186830759,40,64,145
British Indian Ocean Territory,3,17,39,541,2554,823,0,237,237,2
British Virgin Islands,209,1242,4142,26349,79879,18,22016,89,62,163
Brunei Darussalam,1076,6075,19123,22476,34296,14,373831,101,120,195
Bulgaria,11790,59065,169140,44378,53714,14,7744591,55,88,195
Burkina Faso,473,3282,10364,9803,25677,32,13933363,161,141,106
Burma,10017,70885,219214,20181,19949,23,47967266,116,157,137
Burundi,71,165,652,8854,8285,38,7858791,170,215,88
Cambodia,6373,54400,160238,21275,20230,14,13955507,110,155,195
Cameroon,480,1138,4293,6042,12954,94,17795149,203,186,31
Canada,187052,774346,2591034,52388,128123,38,32270507,46,33,88
Cape Verde,173,918,3098,6793,14888,44,506807,197,178,66
Cayman Islands,261,1611,4596,27430,62417,18,45591,84,77,163
Central African Republic,12,12,28,4313,9116,749,4191429,222,209,6
Chad,29,39,70,7528,18364,99,10145609,188,165,27
Chile,21624,251473,826399,127220,172623,29,16295102,12,10,114
China,463218,1330517,5052310,53468,209372,16,1312978855,44,2,181
Christmas Island,11,40,150,2813,6563,221,0,226,225,16
Cocos (Keeling) Islands,2,4,4,4570,12057,821,0,218,196,3
Colombia,32566,480420,1854453,21971,34249,44,4494579,104,121,66
Comoros,6,7,36,8620,6905,157,797902,176,224,18
Congo,412,2514,6098,8685,28207,18,3609851,175,134,163
Cook Islands,33,60,115,7602,16429,115,13984,187,169,22
Costa Rica,10313,134933,488451,20861,40977,22,4327228,113,104,141
Cote d'Ivoire,680,3220,12813,10688,32505,40,18584701,153,126,79
Croatia,16140,72572,226502,21838,40424,25,455149,106,105,131
Cuba,562,1094,3025,2397,3681,177,11259905,228,232,17
Cyprus,5265,41520,126317,13870,36165,20,836321,139,112,148
Czech Republic,29306,80147,261804,27274,51849,19,10191762,85,92,157
Democratic Republic of the Congo,204,510,1783,5497,14712,272,58740547,207,180,13
Denmark,35405,114400,368697,127875,164447,11,5416945,10,12,219
Djibouti,56,262,833,11490,11941,36,804206,150,198,93
Dominica,134,364,1385,49842,64275,12,67827,49,76,209
Dominican Republic,9401,102407,371676,7118,15265,28,9469601,191,177,117
Ecuador,25205,199364,706774,29405,29909,18,13060993,75,130,163
Egypt,29793,293713,1275770,5180,15923,42,72849793,211,175,72
El Salvador,4976,57379,235918,5485,16443,26,6668356,208,168,124
Equatorial Guinea,117,220,802,4383,5724,95,484098,221,227,30
Eritrea,12,18,93,658,3659,708,4526722,236,233,7
Estonia,5438,15923,42843,53788,68222,16,1344312,43,73,181
Ethiopia,1248,4305,14523,7822,8187,42,78985857,184,217,72
Falkland Islands (Malvinas),20,50,94,1365,3542,845,2975,235,234,1
Faroe Islands,373,926,2217,30003,53196,16,48205,74,89,181
Fiji,461,1093,3434,9648,16647,50,828046,162,167,56
Finland,33187,82130,247329,54081,111940,20,5246004,42,42,148
France,174303,454489,1412580,127740,162817,26,60990544,11,15,124
French Guiana,247,558,1518,87864,109201,54,192099,24,44,52
French Polynesia,572,3291,12152,6721,20111,48,255632,199,156,59
Gabon,551,3343,11611,8871,25968,20,1290693,169,139,148
Gambia,245,776,3921,4632,7705,86,1617029,217,219,35
Georgia,4387,18013,44231,21692,21292,15,4473409,107,150,189
Germany,238303,830981,2813143,28381,94331,18,82652369,78,50,163
Ghana,1634,3904,13613,22602,31668,43,2253501,100,128,69
Gibraltar,31,850,2547,92330,132933,15,291,23,29,189
Greece,32624,262491,952169,5361,25137,35,11099737,209,142,96
Greenland,279,1087,2667,11812,28073,61,57475,148,136,43
Grenada,345,978,2567,24345,87113,15,105237,93,53,189
Guadeloupe,905,2273,6340,81796,108476,45,438403,26,46,64
Guam,480,3023,9138,5991,48375,19,16857,204,95,157
Guatemala,8183,86471,361279,8460,18401,30,12709564,178,164,111
Guernsey,343,2269,7787,8508,34423,35,0,177,118,96
Guinea,57,108,285,7075,11219,76,9002656,192,203,37
Guinea-Bissau,32,50,216,4257,7170,149,1596929,223,222,20
Guyana,941,4751,18524,12393,32300,37,739472,145,127,90
Haiti,740,1885,7403,8710,16170,34,9296291,174,173,103
Holy See (Vatican City),6,495,1295,63560,134817,13,783,35,26,206
Honduras,5191,39514,142416,11125,19659,25,683411,152,158,131
Hong Kong,1508,124487,555009,144949,193872,12,7057418,7,4,209
Hungary,30767,121477,363947,73014,135757,18,10086387,30,23,163
Iceland,2142,7270,14135,159245,179697,10,295732,5,9,222
India,236513,2340615,8925707,49400,45943,20,1134403141,51,99,148
Indonesia,158651,1162458,4621860,9433,15945,22,226063044,164,174,141
Iran (Islamic Republic of),21499,101816,331327,5251,12917,47,69420607,210,187,61
Iraq,15282,61554,208142,19747,20641,23,27995984,117,153,137
Ireland,45230,132237,464555,28094,103785,22,4143294,79,47,141
Isle of Man,643,3383,10279,17937,70025,27,78357,124,69,120
Israel,8312,114154,405679,31561,132002,15,6692037,69,31,189
Italy,200443,1058950,3704137,24006,57567,29,5864636,96,82,114
Jamaica,4950,20101,61886,24254,34204,27,2682469,94,122,120
Japan,89628,336125,1348607,128640,163755,21,127896740,9,14,145
Jersey,478,2613,7705,157541,159687,4,0,6,16,238
Jordan,5733,112009,410365,45953,55147,26,5544066,53,87,124
Kazakhstan,17913,75508,216249,25681,28101,32,15210609,91,135,106
Kenya,4654,20282,97809,12945,12622,34,35598952,142,190,103
Kiribati,4,4,5,2017,7534,779,92003,231,220,4
"Korea, Democratic People's Republic of",16,18,38,44030,85176,30,23615611,56,57,111
"Korea, Republic of",15675,48382,149041,141632,185013,10,47869837,8,7,222
Kuwait,2093,18465,55285,27900,140862,20,2700,81,20,148
