Country,Continent,noRecords,Devices,Tests,uSpeed,dSpeed,latMs,avgPop,rankUpload,rankDownload,rankLatency
United Arab Emirates,Asia,10859,247868,724998,109862,184600,10,4104291,18,8,222
United Kingdom,Europe,257323,1754275,6776392,25867,83334,26,60244834,90,59,124
United States of America,Americas,1582901,5707483,18660406,52538,171511,35,299846449,45,11,96
Uruguay,Americas,2936,12628,40075,28705,120715,18,3325727,76,40,163
Uzbekistan,Asia,9702,27252,84928,37906,35919,24,26593123,62,113,134
Vanuatu,Oceania,62,154,446,8796,13008,154,215366,172,185,19
Venezuela,Americas,13297,127996,686134,14064,16383,76,26725573,137,171,37
Viet Nam,Asia,111266,562013,1759902,58595,64843,8,85028643,38,75,230
Wallis and Futuna Islands,Oceania,8,10,23,2145,5069,367,15079,229,229,11
Western Sahara,Africa,236,1529,6681,15578,23204,60,440428,130,146,48
Yemen,Asia,2359,8169,34323,1825,4711,99,21095679,232,230,27
Zambia,Africa,345,639,1887,8329,8723,88,11478317,182,212,34
Zimbabwe,Africa,1070,1752,6173,8372,10484,97,13119679,181,206,29
